filename;sample_name;up_pos;length;width;height;weight;density;moe;mor;invalid;pre_peak_displ;post_peak_displ;pre_peak_cls;post_peak_cls;quality_cropped;quality;knot_healthy;knot_dead;knot_cluster;rot;blue_stain;grain;pitch pocket;pith;crack;bark;wane;borehole;reaction wood;yellowish;split
2024_08_27-I1.1.1.bmp;I1.1;0;560;97.7;29.2;752.7;0.000471147;6.368349559;42.40758501;;1.260004997;2.540041924;0;1;;3;1;;;;;;;;;;;;;;train
2024_08_27-I1.1.2.bmp;I1.1;1;;97.7;29.2;;;6.368349559;42.40758501;;1.260004997;2.540041924;0;1;;2;1;;;;;;;;;;;;;;train
2024_08_27-I1.10.1.bmp;I1.10;1;;99.4;29.6;;;5.860573935;30.58264927;;2.620003223;1.879981995;0;0;;2;;;1;;;;;;;;;;;;train
2024_08_27-I1.10.2.bmp;I1.10;0;563;99.4;29.6;585.62;0.000353533;5.860573935;30.58264927;;2.620003223;1.879981995;0;0;;3;1;;;;;;;;;;;;;1;train
2024_08_27-I1.11.1.bmp;I1.11;0;560;99.2;29.5;692.2;0.000422386;5.567563341;40.43366518;;1.781437874;0;0;0;;3;1;;;;;;;;;;;;;;train
2024_08_27-I1.11.2.bmp;I1.11;1;;99.2;29.5;;;5.567563341;40.43366518;;1.781437874;0;0;0;;2;1;;;;;;;;;;;;;;train
2024_08_27-I1.12.1.bmp;I1.12;0;559;99.5;29.5;670.6;0.000408702;6.164256904;32.42834041;;8.920586586;0;2;0;;3;1;1;;;;;;;;;;;;;train
2024_08_27-I1.12.2.bmp;I1.12;1;;99.5;29.5;;;6.164256904;32.42834041;;8.920586586;0;2;0;;1;;;;;;;;;;;;;;;train
2024_08_27-I1.13.1.bmp;I1.13;0;562;99.2;29.6;754.5;0.000457214;7.542128294;45.90397694;;8.200001717;2.320015907;2;1;;3;1;1;;;;;;;;;;;;;train
2024_08_27-I1.13.2.bmp;I1.13;1;;99.2;29.6;;;7.542128294;45.90397694;;8.200001717;2.320015907;2;1;;3;1;;;;;;;;;;;;;;train
2024_08_27-I1.15.1.bmp;I1.15;0;559;99.2;29.7;652.9;0.00039643;6.721323618;43.81346751;;8.4000144;1.099999428;2;0;2;3;;;;;;;;;;;;;1;;train
2024_08_27-I1.15.2.bmp;I1.15;1;;99.2;29.7;;;6.721323618;43.81346751;;8.4000144;1.099999428;2;0;;2;1;;;;;;;;;;;;;1;train
2024_08_27-I1.16.1.bmp;I1.16;0;560;98.9;29.6;774;0.000472134;8.392249654;54.9635756;;4.439996243;3.899989128;1;1;;2;;1;;;;;;;;;;;;;train
2024_08_27-I1.16.2.bmp;I1.16;1;;98.9;29.6;;;8.392249654;54.9635756;;4.439996243;3.899989128;1;1;;2;1;;;;;;;;;;;;;;train
2024_08_27-I1.17.1.bmp;I1.17;1;;99.1;29.4;;;5.438481649;25.6988556;;2.47999239;0.020025253;0;0;;2;1;;;;;;;;;;;;;;train
2024_08_27-I1.17.2.bmp;I1.17;0;570;99.1;29.4;706.2;0.000425238;5.438481649;25.6988556;;2.47999239;0.020025253;0;0;;3;;;;;;;;;1;;;;;;train
2024_08_27-I1.18.1.bmp;I1.18;0;560;98.9;29.7;677.1;0.000411635;7.621496705;52.82088105;;5.421394825;0.040019989;1;0;;2;1;;;;;;;;;;;;;;train
2024_08_27-I1.18.2.bmp;I1.18;1;;98.9;29.7;;;7.621496705;52.82088105;;5.421394825;0.040019989;1;0;;2;1;;;;;;;;;;;;;;train
