"sample_name","Quality","Quality_Factor","Density","MOE","MOR","PrePD","PostPD","max_knot","knot_decisive"
"1.1",2,"2",421.49,9.045406273,60.30044403,6.299993038,2.420004845,11,1
"1.10",3,"3",404.802,5.806639503,28.54925647,0,3.502135277,52,1
"1.11",3,"3",414.726,8.209796128,59.14280326,6.460001469,10.63296413,12,NA
"1.12",2,"2",511.366,11.22680946,69.22156663,10.50001574,7.639856339,27,1
"1.13",1,"1",383.843,7.217398791,56.02753477,7.099977493,0,15,NA
"1.14",1,"1",397.707,8.51502812,54.44404648,5.740002632,3.474969864,13,1
"1.15",2,"2",434.354,8.352101819,64.55743786,8.73999548,6.359357834,29,1
"1.16",1,"1",373.364,8.319465871,58.73890403,8.579984665,1.038287163,7,NA
"1.17",3,"3",372.699,8.505080165,61.23048824,12.8800106,0.560005188,7,NA
"1.18",1,"1",502.717,10.92609655,64.7968175,6.72002697,3.962118149,17,NA
"1.19",1,"1",378.645,5.559208916,33.61892426,1.300002098,0,0,NA
"1.2",2,"2",380.825,6.748810118,38.5073749,3.439972878,0,0,NA
"1.20",1,"1",382.014,7.797908537,55.52423473,6.480014801,0.399982452,19,NA
"1.21",2,"2",488.024,11.22081825,74.51921353,7.400009155,11.63422775,32,1
"1.22",3,"3",512.817,11.90911829,85.12131011,12.29998875,8.681371689,27,1
"1.23",3,"3",394.592,7.233895245,36.20565022,4.339986801,0,7,NA
"1.24",2,"2",499.554,11.11113505,72.23861847,6.760000706,8.825375557,21,1
"1.25",2,"2",508.483,11.71615372,75.73818671,8.380023479,6.649830818,23,1
"1.26",2,"2",395.154,8.049040127,57.42305916,7.459993362,0.81999588,20,1
"1.27",3,"3",462.963,7.754270102,50.40325111,1.739991188,2.411766052,18,NA
"1.28",2,"2",445.131,8.599223058,42.9250922,6.279988289,2.839981079,14,1
"1.29",2,"2",463.069,6.849484379,39.04049323,0.640017033,0.740008354,20,1
"1.3",3,"3",389.372,6.357901009,31.1407824,3.819989204,3.044011116,40,1
"1.30",2,"2",468.23,7.119005476,44.81675809,5.800002575,2.540016174,23,1
"1.31",2,"2",454.813,8.036298233,66.27612938,10.98001719,0,25,1
"1.32",1,"1",381.182,9.032997515,62.07715916,11.599998,1.019994736,10,1
"1.33",3,"3",441.688,7.357239177,52.74195262,5.440004349,5.15574646,35,1
"1.34",3,"3",423.653,7.313008134,43.80287764,2.400008678,3.179990768,36,1
"1.35",2,"2",422.544,8.051821716,58.6479385,7.220015049,4.077741623,27,1
"1.36",2,"2",396.54,7.903509402,59.94139163,13.62001085,0,24,1
"1.39",3,"3",483.089,10.16178952,58.7555358,3.040019512,10.09015083,26,1
"1.4",2,"2",425.328,7.208286607,56.21027476,7.140005589,4.579983711,26,1
"1.40",3,"3",380.739,6.973008095,42.42892145,3.739971161,1.280021667,41,1
"1.5",2,"2",419.084,8.141497012,55.86002312,3.839990616,9.64696312,20,1
"1.6",3,"3",429.918,8.13933341,44.33469,6.43999052,3.840003967,31,1
"1.7",2,"2",409.809,8.039371139,55.94419072,6.879995823,0.549732208,27,1
"1.8",3,"3",446.765,7.884227,51.98097457,4.559998512,4.839997292,32,1
"1.9",1,"1",408.073,8.911978302,68.27697632,12.70000124,0,8,NA
"10.1",1,"1",394.655,8.748886138,62.34375975,9.100008011,0.019990921,10,1
"10.10",1,"1",400.477,8.380578404,61.25829883,8.640007496,0.220009804,12,NA
"10.11",2,"2",415.558,7.893311817,47.16106361,3.199997425,2.84001255,31,1
"10.12",2,"2",389.216,8.004117566,51.5467405,5.960000038,3.319991112,20,1
"10.13",3,"3",441.506,8.918452341,51.72398855,3.660012722,3.307351112,18,1
"10.14",2,"2",431.799,10.16143421,69.96366154,9.919995785,8.056964874,0,NA
"10.15",1,"1",424.221,8.942114303,58.71835918,3.500005245,1.800012589,0,NA
"10.16",2,"2",435.462,9.147270989,68.21733973,7.980003834,5.742038727,17,1
"10.17",2,"2",462.963,9.930535407,73.51514257,13.03998899,0.840003967,13,1
"10.18",1,"1",383.733,7.1738332,56.74640952,7.580023289,0,0,NA
"10.19",1,"1",433.518,9.046541923,68.15332713,8.799993038,0,0,NA
"10.2",2,"2",424.429,8.763707161,64.9175331,8.87997961,3.042097092,22,1
"10.20",2,"2",395.258,6.998637386,51.02743731,3.940001488,0.059997559,36,NA
"10.21",3,"3",407.56,6.603605747,47.66940728,4.760001659,1.159992218,18,1
"10.22",3,"3",479.537,9.978303596,66.28506171,5.199988365,4.300000191,40,1
"10.23",3,"3",388.397,6.906722469,53.7453316,7.220005989,2.899990082,22,1
"10.24",2,"2",492.639,12.28346655,83.96847906,11.69999981,10.16108894,10,1
"10.25",1,"1",426.203,10.0663828,71.33012783,13.71998405,6.137771606,12,NA
"10.26",2,"2",393.879,8.60198248,52.2727348,5.819989204,0.180012703,33,1
"10.27",1,"1",391.503,6.943459261,55.52628142,8.080024242,0,7,NA
"10.28",2,"2",464.294,10.41687079,70.9256487,10.2600112,5.583051682,14,1
"10.29",1,"1",488.337,12.30445806,80.29691106,9.299989223,8.569446564,20,1
"10.3",1,"1",385.078,9.178947234,63.64540938,12.81999016,0,6,NA
"10.30",3,"3",379.197,9.658721166,57.97850101,3.559999943,9.210551262,25,NA
"10.31",2,"2",416.977,7.154154922,42.16787129,2.159985542,0.020007133,0,1
"10.32",3,"3",399.367,5.590311935,25.91989605,1.599992752,1.13999939,35,1
"10.33",1,"1",428.778,9.571752132,71.25850837,15.54337263,0.779983521,0,NA
"10.34",2,"2",389.453,7.118709604,58.40218976,14.18001032,0,17,1
"10.35",2,"2",435.291,9.15875817,69.64197094,9.659996986,5.119344711,17,1
"10.36",2,"2",488.503,12.17190128,80.08048356,10.10002232,9.193609238,13,1
"10.38",2,"2",402.645,8.857920351,56.87510233,6.239993572,0.179987907,15,1
"10.39",1,"1",489.552,12.77940975,88.694564,14.50002289,7.860992432,11,NA
"10.4",2,"2",512.375,10.19115696,66.22690167,3.639987469,8.366844177,28,1
"10.40",2,"2",454.203,9.371892782,60.76897475,4.599997044,4.630168915,17,NA
"10.5",2,"2",404.294,8.864885639,57.91436658,10.05097771,0.059995651,18,1
"10.6",1,"1",407.906,8.820157531,62.41154897,13.69999123,0,39,1
"10.7",3,"3",426.259,5.356211825,29.0118664,7.900005817,0,48,1
"10.8",1,"1",384.952,6.911322928,55.1062767,9.820010662,0,0,NA
"10.9",2,"2",383.843,8.528423308,57.30567673,9.340013981,4.614522934,17,1
"11.1",1,"1",393.713,8.560737688,62.25611765,9.240008354,3.859994888,17,NA
"11.10",1,"1",441.425,10.46680036,72.71580862,10.05999088,7.240003586,9,NA
"11.11",1,"1",445.054,10.04007124,79.14700384,10.45999575,0,8,NA
"11.12",1,"1",372.644,8.785164231,60.29126805,9.706969738,0.019994736,0,NA
"11.13",1,"1",383.039,7.548680805,56.72278977,6.41999197,0,17,NA
"11.14",3,"3",468.175,5.710585095,23.49870571,3.60000515,2.879998207,36,1
"11.15",2,"2",487.691,11.02334364,86.85453312,14.31998491,8.002008438,9,1
"11.16",3,"3",419.729,7.341444951,50.22963351,4.379978657,0.020015717,33,1
"11.17",2,"2",393.037,7.60830381,51.4470863,4.57997942,0.020054817,20,1
"11.18",2,"2",392.049,8.643971712,64.46971779,11.61997223,0,17,1
"11.2",3,"3",463.795,7.02933501,40.93604295,0.879987717,4.240006447,17,1
"11.20",1,"1",379.893,7.33538531,35.85610761,0,3.760011196,24,1
"11.21",1,"1",387.18,8.80585682,53.93845267,5.15998745,2.600027084,8,NA
"11.22",3,"3",442.371,10.27407004,70.72004916,7.980030537,8.523985863,7,NA
"11.23",1,"1",407.713,8.568953197,60.22233365,8.300002098,4.025789261,17,1
"11.24",1,"1",479.241,12.3008839,81.02390434,12.42000341,5.680007935,8,NA
"11.25",1,"1",466.678,12.10584221,82.90952275,13.49997711,10.5320034,0,NA
"11.26",2,"2",423.431,9.438557065,69.48306512,9.50000906,0,16,1
"11.27",3,"3",487.691,6.258432243,35.66666472,1.920006752,0,41,1
"11.28",2,"2",437.718,10.0820815,62.43798536,4.419993401,5.297122002,19,1
"11.29",1,"1",381.626,8.084688423,63.15866802,15.42000723,0,14,NA
"11.3",1,"1",456.864,11.73468151,81.48799569,11.3799839,10.68605232,6,NA
"11.30",2,"2",440.937,10.4412698,66.85577575,4.759994507,3.282007217,16,1
"11.31",2,"2",424.983,9.158185536,68.50985042,9.08000946,0,19,1
"11.32",1,"1",372.003,7.887031223,54.27018034,6.76000452,0,16,NA
"11.33",1,"1",383.514,8.403669491,57.16082483,7.439984798,0,18,NA
"11.34",3,"3",463.739,6.809379934,53.28453445,4.900001049,0.340001106,44,1
"11.35",3,"3",460.079,6.876987672,42.7971937,3.600005627,0.01999855,23,NA
"11.36",1,"1",440.452,10.57467194,70.32569139,8.31999588,4.519997597,7,NA
"11.37",3,"3",406.188,5.875053509,26.01921401,3.680011749,1.182361603,49,1
"11.38",1,"1",380.616,7.582492673,56.88157864,9.660013676,0,35,1
"11.39",2,"2",418.884,7.362335055,38.96846444,2.679999828,0.900003433,22,1
"11.4",2,"2",439.166,10.43703064,74.9245162,10.01998854,2.479997635,6,NA
"11.40",1,"1",450.543,11.5239449,81.61553845,10.99999046,8.554576874,0,NA
"11.5",2,"2",397.095,8.920350631,62.72471658,10.02002287,0.059995651,15,1
"11.6",1,"1",398.259,7.832278785,52.49006382,5.523759842,0,19,1
"11.7",2,"2",491.794,12.71740773,81.90534946,11.49998426,8.801757812,10,1
"11.8",1,"1",440.563,10.16559337,72.15801795,9.499983311,8.980579376,25,1
