"sample_name","Density","MOE","MOR","PrePD","PostPD","Quality","quality_experts"
"1.1.2",421.49,9.045406273,60.30044403,6.299993038,2.420004845,"2","1"
"1.13.2",383.843,7.217398791,56.02753477,7.099977493,0,"1","1"
"1.19.1",378.645,5.559208916,33.61892426,1.300002098,0,"1","2"
"1.28.2",445.131,8.599223058,42.9250922,6.279988289,2.839981079,"1","1"
"1.35.1",422.544,8.051821716,58.6479385,7.220015049,4.077741623,"3","2"
"10.2.1",424.429,8.763707161,64.9175331,8.87997961,3.042097092,"3","2"
"11.14.2",468.175,5.710585095,23.49870571,3.60000515,2.879998207,"2","2"
"11.17.2",393.037,7.60830381,51.4470863,4.57997942,0.020054817,"2","1"
"11.24.2",479.241,12.3008839,81.02390434,12.42000341,5.680007935,"1","1"
"11.27.1",487.691,6.258432243,35.66666472,1.920006752,0,"3","2"
"12.27.2",440.508,10.1740437,78.82043043,13.77999735,0,"1","1"
"12.4.1",404.431,7.905807785,59.17345972,7.459998131,0,"2","1"
"13.17.1",426.259,9.467702147,71.07937445,12.40001583,0,"2","1"
"13.22.1",458.694,6.15859249,37.87441962,2.399998188,2.099999428,"2","2"
"13.23.2",377.745,6.033221903,40.17701901,1.020010948,0,"3","2"
"14.13.2",430.306,7.159471865,51.96801709,3.440010548,0.020011902,"1","1"
"14.23.1",418.907,5.560739266,27.3627842,4.600005627,3.720002174,"2","2"
"14.32.1",367.764,6.958828503,52.84655299,8.779978275,0,"2","1"
"15.1.2",390.342,9.174932968,62.05559097,11.17999935,0.100002289,"1","1"
"15.21.2",421.657,9.194928114,61.32333965,4.439997673,0,"1","1"
"15.30.1",412.685,9.276876541,62.46620528,4.240012646,0.020012856,"1","1"
"15.37.1",491.197,11.58326586,79.88193535,11.60001421,7.187355042,"2","1"
"15.8.1",424.429,3.484209755,17.23128085,1.499999046,1.019994736,"3","2"
"16.8.2",390.885,5.364806046,40.18611215,5.059985638,0,"3","2"
"17.15.2",439.775,4.580092936,24.43491435,3.459982157,0.660023689,"1","1"
"17.18.1",481.927,8.539101431,52.75549487,1.819972992,5.240011215,"3","2"
"17.8.2",446.829,7.942469853,49.35040076,1.700000763,0.519999504,"3","2"
"18.11.2",398.647,7.433791467,57.15578608,7.740015507,0,"2","2"
"18.14.2",445.476,9.231803462,72.14882247,13.28001976,0,"1","1"
"18.31.2",394.101,7.149370562,45.56846756,2.640013695,1.535730362,"2","1"
"18.36.1",460.596,10.90359642,77.53268366,11.54001379,0.459976196,"1","1"
"18.40.2",428.206,9.519202106,68.64777281,8.520009518,1.239983559,"1","1"
"18.5.1",410.936,6.545652413,31.41775287,5.38001442,1.579978943,"2","1"
"19.17.2",461.577,10.29748772,73.28572835,7.220005512,0,"1","1"
"19.38.1",437.514,9.694227121,62.46160998,7.180002213,5.327663422,"2","1"
"19.4.2",385.873,8.604975317,51.02290049,6.239983559,4.260016441,"1","1"
"19.6.2",393.768,8.194899901,55.7738673,6.719982624,1.359988213,"2","2"
"2.29.1",453.83,8.399326891,53.43908862,4.719991207,5.544546127,"3","2"
"2.34.2",441.159,7.790940516,48.79937391,2.180010796,1.719992638,"2","2"
"20.2.1",463.739,7.52421345,55.91733525,7.553372383,0,"3","2"
"20.8.1",437.047,10.37798155,75.11596923,11.45998526,1.280017853,"1","1"
"3.21.1",422.211,8.298434533,56.77844994,3.959992886,7.680021286,"2","2"
"3.3.1",390.441,8.894717332,55.92574129,8.480002403,4.561943054,"1","1"
"3.30.1",431.415,8.629397879,68.81815471,12.74001265,2.43016243,"2","2"
"3.31.1",405.744,8.868419926,68.76591543,15.64000416,0,"1","1"
"4.13.1",459.336,7.548003942,46.60113367,3.180009365,0,"2","2"
"4.5.2",436.275,8.442566435,59.38004362,6.879980564,4.250582695,"2","2"
"4.6.1",358.96,7.060692425,46.19642064,5.180011272,0,"2","2"
"5.21.1",423.889,7.173290704,53.87348837,4.800009727,0,"3","2"
