filename;num_live_knots;max_width_live_knots;num_dead_knots;max_dia_dead_knots;max_width_dead_knots;max_width_knot_collection;num_resin;num_resin_bigger_20;num_resin_bigger_80;overgrown_bool;overgrown_area;marrow_bool;blue_stain_area;rot_bool;rot_area;crack_max_dia
2024_10_03-10.30.1.bmp;5;0.25;;;;0.72;1;1;0;;;;0;;;18.81
2024_10_03-15.26.2.bmp;5;0.17;;;;0.51;;;;;;;;;;
2024_11_15-I21.24.2.bmp;;;;;;;;;;;;;0;1;142.8;
2024_08_27-S5.8.2.bmp;3;0.26;1;5.94;0.05;0.6;3;2;0;;;;0;;;62.94
2024_10_03-5.31.1.bmp;;;1;11.74;0.1;;;;;1;306.57;;0;;;
2024_08_27-S2.3.1.bmp;;;;;;;1;1;0;;;1;;;;
2024_10_04-B8.23.1.bmp;1;0.17;2;8.67;0.08;0.3;;;;;;;0.12;;;
2024_10_04-13.28.2.bmp;;;;;;;;;;;;;0;;;
2024_10_04-B9.31.1.bmp;1;0.1;1;9.63;0.08;0.18;;;;;;;0.01;;;
2024_08_27-I1.16.2.bmp;3;0.21;1;7.03;0.06;0.45;;;;;;;0;;;
2024_10_04-B5.40.2.bmp;1;0.26;;;;0.26;;;;;;;;1;2602.37;
2024_10_04-B1.18.1.bmp;1;0.21;;;;;;;;;;;0.52;;;
2024_11_15-I20.33.1.bmp;;;;;;;;;;;;;0;;;
2024_08_27-I9.4.2.bmp;;;1;13.49;0.11;;3;2;0;;;;;;;
2024_10_03-1.11.2.bmp;2;0.12;1;5.34;0.05;0.27;;;;1;13.02;;0;;;
2024_08_27-S13.6.2.bmp;;;1;6.48;0.06;;;;;;;;0;;;
2024_11_15-I20.5.2.bmp;;;1;19.62;0.17;;;;;;;;0;;;
2024_08_27-I2.7.2.bmp;1;0.2;;;;0.2;;;;;;;;;;
2024_10_04-F1.32.2.bmp;1;0.55;;;;;;;;1;21.55;;0.91;1;233.81;
2024_10_04-B6.6.2.bmp;;;;;;;;;;;;;0.4;;;
2024_08_27-I8.1.1.bmp;4;0.19;;;;0.6;;;;;;;0;1;780.55;78.12
2024_11_15-N4.30.1.bmp;;;;;;;;;;;;;0;;;
2024_10_04-F3.19.2.bmp;1;0.55;1;7.1;0.05;0.6;;;;;;;0.47;1;733.27;
2024_10_03-10.24.2.bmp;;;2;11.5;0.09;0.16;;;;;;;;;;
2024_10_03-15.15.2.bmp;6;0.2;1;6.83;0.06;0.89;;;;1;9.81;;0;;;
2024_10_04-B1.28.2.bmp;;;;;;;;;;;;;;;;
2024_10_04-12.31.2.bmp;2;0.52;;;;0.67;;;;1;27.59;;0;;;
2024_10_04-B6.39.1.bmp;1;0.08;;;;;;;;;;;;;;
2024_08_27-S11.2.1.bmp;2;0.25;;;;0.3;;;;;;;;;;19.21
2024_08_27-I7.4.1.bmp;3;0.35;;;;0.67;;;;;;;0;;;
2024_08_27-I5.11.1.bmp;1;0.31;2;8.21;0.07;0.45;;;;;;;0;;;
2024_10_03-2.33.2.bmp;1;0.2;;;;0.2;;;;;;;;1;2579.1;
2024_08_27-I2.16.2.bmp;;;1;6.16;0.05;0.05;;;;1;60.06;;;;;
2024_08_27-I5.6.2.bmp;3;0.23;1;14.3;0.11;0.68;;;;1;2.47;;;;;
2024_10_04-B3.9.1.bmp;;;;;;;1;1;0;1;42.02;1;;1;202.57;53.95
2024_10_03-15.31.2.bmp;2;0.45;;;;0.66;;;;;;;;1;363.13;
2024_10_04-B1.22.1.bmp;8;0.15;1;5.6;0.05;0.76;;;;;;;0;1;225.73;
2024_11_15-N3.7.2.bmp;;;;;;;;;;1;131.65;;;;;
2024_10_03-10.18.1.bmp;;;;;;;;;;;;;0.02;;;
2024_10_04-U4.1.1.bmp;3;0.13;;;;0.29;;;;1;12.28;;0;;;
2024_08_27-I9.10.1.bmp;3;0.26;;;;0.75;1;1;0;;;;;1;301.47;
2024_08_29-IB2.13.1.bmp;;;;;;;;;;;;;0.48;;;
2024_08_27-I9.1.2.bmp;4;0.33;;;;0.81;1;0;0;;;;0;;;
2024_10_04-12.1.1.bmp;3;0.3;;;;0.5;6;5;0;;;;0;1;86.97;12.15
2024_08_29-I13.17.2.bmp;5;0.44;1;9.41;0.08;1;;;;;;;;;;
2024_10_03-4.3.1.bmp;3;0.2;;;;0.44;;;;1;7.66;;;;;
2024_11_15-I21.25.2.bmp;;;;;;;;;;1;17.4;;;;;
2024_10_04-B12.17.1.bmp;;;;;;;;;;;;;0.93;1;67.97;
2024_10_04-F1.5.2.bmp;;;1;5.88;0.05;0.05;;;;;;;;;;
2024_10_04-B8.13.1.bmp;;;1;5.48;0.05;;2;1;0;;;;0.02;1;3291.56;
2024_10_03-14.22.1.bmp;;;;;;;;;;;;;;;;
2024_11_15-I19.25.1.bmp;;;;;;;;;;;;;;;;
2024_10_04-12.16.2.bmp;3;0.21;;;;0.49;;;;;;;;1;46.05;
2024_10_03-6.9.1.bmp;;;3;35.78;0.32;0.55;1;1;0;1;32.59;;0.04;;;
2024_08_27-I6.11.2.bmp;;;;;;;2;2;0;;;1;0;1;210.24;
2024_10_03-4.15.2.bmp;1;0.28;;;;;;;;;;;;1;67.09;
2024_10_03-5.8.1.bmp;3;0.2;;;;0.52;;;;;;;0;;;
2024_10_03-2.12.2.bmp;3;0.19;;;;0.36;;;;;;;;;;
2024_10_04-11.16.2.bmp;3;0.26;1;5.6;0.05;0.74;;;;1;114.78;;;1;107.31;
2024_08_27-I2.4.1.bmp;3;0.43;;;;1.09;1;0;0;;;;0;1;56.04;
2024_11_15-I17.17.1.bmp;;;;;;;;;;;;;;;;
2024_08_27-I8.5.2.bmp;1;0.13;1;8.26;0.07;0.2;;;;;;;0;1;83.63;
2024_10_03-9.10.2.bmp;;;;;;;;;;;;;;;;
2024_10_03-4.4.1.bmp;3;0.21;;;;0.46;;;;;;;;;;
2024_11_15-I21.17.1.bmp;;;;;;;;;;;;;0;;;
2024_08_27-I3.4.2.bmp;3;0.29;1;20.61;0.15;0.77;;;;1;259.03;;0;;;29.4
2024_08_27-S9.5.1.bmp;;;;;;0;;;;;;;;;;
2024_11_15-I22.29.2.bmp;;;;;;;;;;;;;;;;
2024_10_04-B8.1.2.bmp;;;1;66.56;0.6;;;;;;;;0.01;;;
2024_10_03-18.28.2.bmp;;;;;;;;;;;;;;;;
2024_10_03-6.31.2.bmp;2;0.36;1;5.34;0.05;0.53;1;1;0;;;;;;;
